path,label
../Processed_Dataset/measurements/1024_64_128/0.csv,0
../Processed_Dataset/measurements/1024_64_128/1.csv,1
../Processed_Dataset/measurements/1024_64_128/2.csv,0
../Processed_Dataset/measurements/1024_64_128/3.csv,0
../Processed_Dataset/measurements/1024_64_128/4.csv,1
../Processed_Dataset/measurements/1024_64_128/5.csv,1
../Processed_Dataset/measurements/1024_64_128/6.csv,1
../Processed_Dataset/measurements/1024_64_128/7.csv,1
../Processed_Dataset/measurements/1024_64_128/8.csv,1
../Processed_Dataset/measurements/1024_64_128/9.csv,1
../Processed_Dataset/measurements/1024_64_128/10.csv,0
../Processed_Dataset/measurements/1024_64_128/11.csv,0
../Processed_Dataset/measurements/1024_64_128/12.csv,0
../Processed_Dataset/measurements/1024_64_128/13.csv,1
../Processed_Dataset/measurements/1024_64_128/14.csv,1
../Processed_Dataset/measurements/1024_64_128/15.csv,1
../Processed_Dataset/measurements/1024_64_128/16.csv,0
../Processed_Dataset/measurements/1024_64_128/17.csv,0
../Processed_Dataset/measurements/1024_64_128/18.csv,1
../Processed_Dataset/measurements/1024_64_128/19.csv,1
../Processed_Dataset/measurements/1024_64_128/20.csv,0
../Processed_Dataset/measurements/1024_64_128/21.csv,0
../Processed_Dataset/measurements/1024_64_128/22.csv,1
../Processed_Dataset/measurements/1024_64_128/23.csv,1
../Processed_Dataset/measurements/1024_64_128/24.csv,0
../Processed_Dataset/measurements/1024_64_128/25.csv,0
../Processed_Dataset/measurements/1024_64_128/26.csv,0
../Processed_Dataset/measurements/1024_64_128/27.csv,1
../Processed_Dataset/measurements/1024_64_128/28.csv,0
../Processed_Dataset/measurements/1024_64_128/29.csv,0
../Processed_Dataset/measurements/1024_64_128/30.csv,1
../Processed_Dataset/measurements/1024_64_128/31.csv,1
../Processed_Dataset/measurements/1024_64_128/32.csv,1
../Processed_Dataset/measurements/1024_64_128/33.csv,1
../Processed_Dataset/measurements/1024_64_128/34.csv,1
../Processed_Dataset/measurements/1024_64_128/35.csv,1
../Processed_Dataset/measurements/1024_64_128/36.csv,1
../Processed_Dataset/measurements/1024_64_128/37.csv,1
../Processed_Dataset/measurements/1024_64_128/38.csv,0
../Processed_Dataset/measurements/1024_64_128/39.csv,0
../Processed_Dataset/measurements/1024_64_128/40.csv,0
../Processed_Dataset/measurements/1024_64_128/41.csv,0
../Processed_Dataset/measurements/1024_64_128/42.csv,0
../Processed_Dataset/measurements/1024_64_128/43.csv,1
../Processed_Dataset/measurements/1024_64_128/44.csv,0
../Processed_Dataset/measurements/1024_64_128/45.csv,0
../Processed_Dataset/measurements/1024_64_128/46.csv,1
../Processed_Dataset/measurements/1024_64_128/47.csv,0
../Processed_Dataset/measurements/1024_64_128/48.csv,0
../Processed_Dataset/measurements/1024_64_128/49.csv,0
../Processed_Dataset/measurements/1024_64_128/50.csv,1
../Processed_Dataset/measurements/1024_64_128/51.csv,1
../Processed_Dataset/measurements/1024_64_128/52.csv,1
../Processed_Dataset/measurements/1024_64_128/53.csv,1
../Processed_Dataset/measurements/1024_64_128/54.csv,0
../Processed_Dataset/measurements/1024_64_128/55.csv,0
../Processed_Dataset/measurements/1024_64_128/56.csv,0
../Processed_Dataset/measurements/1024_64_128/57.csv,0
../Processed_Dataset/measurements/1024_64_128/58.csv,1
../Processed_Dataset/measurements/1024_64_128/59.csv,1
../Processed_Dataset/measurements/1024_64_128/60.csv,1
../Processed_Dataset/measurements/1024_64_128/61.csv,1
../Processed_Dataset/measurements/1024_64_128/62.csv,0
../Processed_Dataset/measurements/1024_64_128/63.csv,0
../Processed_Dataset/measurements/1024_64_128/64.csv,0
../Processed_Dataset/measurements/1024_64_128/65.csv,0
../Processed_Dataset/measurements/1024_64_128/66.csv,1
../Processed_Dataset/measurements/1024_64_128/67.csv,1
../Processed_Dataset/measurements/1024_64_128/68.csv,1
../Processed_Dataset/measurements/1024_64_128/69.csv,1
../Processed_Dataset/measurements/1024_64_128/70.csv,1
../Processed_Dataset/measurements/1024_64_128/71.csv,1
../Processed_Dataset/measurements/1024_64_128/72.csv,1
../Processed_Dataset/measurements/1024_64_128/73.csv,1
../Processed_Dataset/measurements/1024_64_128/74.csv,1
../Processed_Dataset/measurements/1024_64_128/75.csv,1
../Processed_Dataset/measurements/1024_64_128/76.csv,1
../Processed_Dataset/measurements/1024_64_128/77.csv,1
../Processed_Dataset/measurements/1024_64_128/78.csv,1
../Processed_Dataset/measurements/1024_64_128/79.csv,1
../Processed_Dataset/measurements/1024_64_128/80.csv,1
../Processed_Dataset/measurements/1024_64_128/81.csv,1
../Processed_Dataset/measurements/1024_64_128/82.csv,1
../Processed_Dataset/measurements/1024_64_128/83.csv,1
../Processed_Dataset/measurements/1024_64_128/84.csv,1
../Processed_Dataset/measurements/1024_64_128/85.csv,1
../Processed_Dataset/measurements/1024_64_128/86.csv,1
../Processed_Dataset/measurements/1024_64_128/87.csv,1
../Processed_Dataset/measurements/1024_64_128/88.csv,1
../Processed_Dataset/measurements/1024_64_128/89.csv,1
../Processed_Dataset/measurements/1024_64_128/90.csv,1
../Processed_Dataset/measurements/1024_64_128/91.csv,0
../Processed_Dataset/measurements/1024_64_128/92.csv,0
../Processed_Dataset/measurements/1024_64_128/93.csv,1
../Processed_Dataset/measurements/1024_64_128/94.csv,1
../Processed_Dataset/measurements/1024_64_128/95.csv,1
../Processed_Dataset/measurements/1024_64_128/96.csv,1
../Processed_Dataset/measurements/1024_64_128/97.csv,0
../Processed_Dataset/measurements/1024_64_128/98.csv,0
../Processed_Dataset/measurements/1024_64_128/99.csv,1
../Processed_Dataset/measurements/1024_64_128/100.csv,1
../Processed_Dataset/measurements/1024_64_128/101.csv,1
../Processed_Dataset/measurements/1024_64_128/102.csv,1
../Processed_Dataset/measurements/1024_64_128/103.csv,1
../Processed_Dataset/measurements/1024_64_128/104.csv,1
../Processed_Dataset/measurements/1024_64_128/105.csv,0
../Processed_Dataset/measurements/1024_64_128/106.csv,0
../Processed_Dataset/measurements/1024_64_128/107.csv,1
../Processed_Dataset/measurements/1024_64_128/108.csv,1
../Processed_Dataset/measurements/1024_64_128/109.csv,1
